image,class
train_1\v_Archery_g08_c01.avi_frame0.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame1.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame10.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame11.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame12.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame13.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame14.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame2.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame3.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame4.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame5.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame6.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame7.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame8.jpg,Archery
train_1\v_Archery_g08_c01.avi_frame9.jpg,Archery
train_1\v_Archery_g08_c02.avi_frame0.jpg,Archery
train_1\v_Archery_g08_c02.avi_frame1.jpg,Archery
train_1\v_Archery_g08_c02.avi_frame2.jpg,Archery
train_1\v_Archery_g08_c02.avi_frame3.jpg,Archery
train_1\v_Archery_g08_c02.avi_frame4.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame0.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame1.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame10.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame11.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame12.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame13.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame2.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame3.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame4.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame5.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame6.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame7.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame8.jpg,Archery
train_1\v_Archery_g08_c03.avi_frame9.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame0.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame1.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame10.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame11.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame12.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame13.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame2.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame3.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame4.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame5.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame6.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame7.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame8.jpg,Archery
train_1\v_Archery_g08_c04.avi_frame9.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame0.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame1.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame10.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame11.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame12.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame13.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame14.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame2.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame3.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame4.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame5.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame6.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame7.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame8.jpg,Archery
train_1\v_Archery_g08_c05.avi_frame9.jpg,Archery
train_1\v_Archery_g09_c01.avi_frame0.jpg,Archery
train_1\v_Archery_g09_c01.avi_frame1.jpg,Archery
train_1\v_Archery_g09_c01.avi_frame2.jpg,Archery
train_1\v_Archery_g09_c01.avi_frame3.jpg,Archery
train_1\v_Archery_g09_c02.avi_frame0.jpg,Archery
train_1\v_Archery_g09_c02.avi_frame1.jpg,Archery
train_1\v_Archery_g09_c02.avi_frame2.jpg,Archery
train_1\v_Archery_g09_c02.avi_frame3.jpg,Archery
train_1\v_Archery_g09_c03.avi_frame0.jpg,Archery
train_1\v_Archery_g09_c03.avi_frame1.jpg,Archery
train_1\v_Archery_g09_c03.avi_frame2.jpg,Archery
train_1\v_Archery_g09_c03.avi_frame3.jpg,Archery
train_1\v_Archery_g09_c04.avi_frame0.jpg,Archery
train_1\v_Archery_g09_c04.avi_frame1.jpg,Archery
train_1\v_Archery_g09_c04.avi_frame2.jpg,Archery
train_1\v_Archery_g09_c04.avi_frame3.jpg,Archery
train_1\v_Archery_g09_c05.avi_frame0.jpg,Archery
train_1\v_Archery_g09_c05.avi_frame1.jpg,Archery
train_1\v_Archery_g09_c05.avi_frame2.jpg,Archery
train_1\v_Archery_g09_c05.avi_frame3.jpg,Archery
train_1\v_Archery_g09_c06.avi_frame0.jpg,Archery
train_1\v_Archery_g09_c06.avi_frame1.jpg,Archery
train_1\v_Archery_g09_c06.avi_frame2.jpg,Archery
train_1\v_Archery_g09_c06.avi_frame3.jpg,Archery
train_1\v_Archery_g09_c07.avi_frame0.jpg,Archery
train_1\v_Archery_g09_c07.avi_frame1.jpg,Archery
train_1\v_Archery_g09_c07.avi_frame2.jpg,Archery
train_1\v_Archery_g09_c07.avi_frame3.jpg,Archery
train_1\v_Archery_g09_c07.avi_frame4.jpg,Archery
train_1\v_Archery_g10_c01.avi_frame0.jpg,Archery
train_1\v_Archery_g10_c01.avi_frame1.jpg,Archery
train_1\v_Archery_g10_c01.avi_frame2.jpg,Archery
train_1\v_Archery_g10_c01.avi_frame3.jpg,Archery
train_1\v_Archery_g10_c01.avi_frame4.jpg,Archery
train_1\v_Archery_g10_c02.avi_frame0.jpg,Archery
train_1\v_Archery_g10_c02.avi_frame1.jpg,Archery
train_1\v_Archery_g10_c02.avi_frame2.jpg,Archery
train_1\v_Archery_g10_c02.avi_frame3.jpg,Archery
train_1\v_Archery_g10_c02.avi_frame4.jpg,Archery
train_1\v_Archery_g10_c02.avi_frame5.jpg,Archery
train_1\v_Archery_g10_c03.avi_frame0.jpg,Archery
train_1\v_Archery_g10_c03.avi_frame1.jpg,Archery
train_1\v_Archery_g10_c03.avi_frame2.jpg,Archery
train_1\v_Archery_g10_c03.avi_frame3.jpg,Archery
train_1\v_Archery_g10_c03.avi_frame4.jpg,Archery
train_1\v_Archery_g10_c03.avi_frame5.jpg,Archery
train_1\v_Archery_g10_c03.avi_frame6.jpg,Archery
train_1\v_Archery_g10_c03.avi_frame7.jpg,Archery
train_1\v_Archery_g10_c03.avi_frame8.jpg,Archery
train_1\v_Archery_g10_c04.avi_frame0.jpg,Archery
train_1\v_Archery_g10_c04.avi_frame1.jpg,Archery
train_1\v_Archery_g10_c04.avi_frame2.jpg,Archery
train_1\v_Archery_g10_c04.avi_frame3.jpg,Archery
train_1\v_Archery_g10_c04.avi_frame4.jpg,Archery
train_1\v_Archery_g10_c04.avi_frame5.jpg,Archery
train_1\v_Archery_g10_c04.avi_frame6.jpg,Archery
train_1\v_Archery_g10_c04.avi_frame7.jpg,Archery
train_1\v_Archery_g10_c04.avi_frame8.jpg,Archery
train_1\v_Archery_g10_c05.avi_frame0.jpg,Archery
train_1\v_Archery_g10_c05.avi_frame1.jpg,Archery
train_1\v_Archery_g10_c05.avi_frame2.jpg,Archery
train_1\v_Archery_g10_c05.avi_frame3.jpg,Archery
train_1\v_Archery_g10_c05.avi_frame4.jpg,Archery
train_1\v_Archery_g10_c05.avi_frame5.jpg,Archery
train_1\v_Archery_g10_c05.avi_frame6.jpg,Archery
train_1\v_Archery_g10_c05.avi_frame7.jpg,Archery
train_1\v_Archery_g10_c06.avi_frame0.jpg,Archery
train_1\v_Archery_g10_c06.avi_frame1.jpg,Archery
train_1\v_Archery_g10_c06.avi_frame2.jpg,Archery
train_1\v_Archery_g10_c06.avi_frame3.jpg,Archery
train_1\v_Archery_g10_c06.avi_frame4.jpg,Archery
train_1\v_Archery_g10_c06.avi_frame5.jpg,Archery
train_1\v_Archery_g10_c06.avi_frame6.jpg,Archery
train_1\v_Archery_g10_c06.avi_frame7.jpg,Archery
train_1\v_Archery_g10_c07.avi_frame0.jpg,Archery
train_1\v_Archery_g10_c07.avi_frame1.jpg,Archery
train_1\v_Archery_g10_c07.avi_frame2.jpg,Archery
train_1\v_Archery_g10_c07.avi_frame3.jpg,Archery
train_1\v_Archery_g10_c07.avi_frame4.jpg,Archery
train_1\v_Archery_g10_c07.avi_frame5.jpg,Archery
train_1\v_Archery_g11_c01.avi_frame0.jpg,Archery
train_1\v_Archery_g11_c01.avi_frame1.jpg,Archery
train_1\v_Archery_g11_c01.avi_frame2.jpg,Archery
train_1\v_Archery_g11_c01.avi_frame3.jpg,Archery
train_1\v_Archery_g11_c01.avi_frame4.jpg,Archery
train_1\v_Archery_g11_c01.avi_frame5.jpg,Archery
train_1\v_Archery_g11_c01.avi_frame6.jpg,Archery
train_1\v_Archery_g11_c01.avi_frame7.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame0.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame1.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame10.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame11.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame12.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame2.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame3.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame4.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame5.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame6.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame7.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame8.jpg,Archery
train_1\v_Archery_g11_c02.avi_frame9.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame0.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame1.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame10.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame11.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame2.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame3.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame4.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame5.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame6.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame7.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame8.jpg,Archery
train_1\v_Archery_g11_c03.avi_frame9.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame0.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame1.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame10.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame2.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame3.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame4.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame5.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame6.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame7.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame8.jpg,Archery
train_1\v_Archery_g11_c04.avi_frame9.jpg,Archery
train_1\v_Archery_g11_c05.avi_frame0.jpg,Archery
train_1\v_Archery_g11_c05.avi_frame1.jpg,Archery
train_1\v_Archery_g11_c05.avi_frame2.jpg,Archery
train_1\v_Archery_g11_c05.avi_frame3.jpg,Archery
train_1\v_Archery_g11_c05.avi_frame4.jpg,Archery
train_1\v_Archery_g11_c05.avi_frame5.jpg,Archery
train_1\v_Archery_g11_c05.avi_frame6.jpg,Archery
train_1\v_Archery_g11_c05.avi_frame7.jpg,Archery
train_1\v_Archery_g11_c05.avi_frame8.jpg,Archery
train_1\v_Archery_g11_c06.avi_frame0.jpg,Archery
train_1\v_Archery_g11_c06.avi_frame1.jpg,Archery
train_1\v_Archery_g11_c06.avi_frame2.jpg,Archery
train_1\v_Archery_g11_c06.avi_frame3.jpg,Archery
train_1\v_Archery_g11_c06.avi_frame4.jpg,Archery
train_1\v_Archery_g11_c06.avi_frame5.jpg,Archery
train_1\v_Archery_g11_c06.avi_frame6.jpg,Archery
train_1\v_Archery_g11_c06.avi_frame7.jpg,Archery
train_1\v_Archery_g11_c06.avi_frame8.jpg,Archery
train_1\v_Archery_g11_c06.avi_frame9.jpg,Archery
